feature,xgb_gain_pct,rf_impurity,lr_coef,perm_drop_f1,mean_abs_shap
alcohol,24.642364250808157,0.18658128696297882,0.9499803602863628,0.1794136997062096,1.0616319
alcohol_acidity_ratio,13.11983076676869,0.12147123403846231,0.03739591494703152,0.04999565540312997,0.53599316
sulphates,8.08097701475803,0.12007881782462276,0.5938911628092473,0.12612933689890915,0.8677298
PC2_score,6.698136842016916,0.14105730900236363,-0.4036451310218964,0.0274474934389247,0.4564479
ph,5.677188604098733,0.022764947715054797,-0.10799730283507046,0.03872385394870442,0.21464457
fixed_acidity,4.855786877573557,0.028625190220370123,0.22286703356669033,0.0008001127024519439,0.12852176
total_sulfur_dioxide,4.585005348290435,0.03436016833159892,0.24029813691551946,-0.008635605547863611,0.18607865
free_sulfur_dioxide,4.421993759866808,0.03077351350131121,-0.30574660363671097,-0.019698311195880037,0.22916348
PC1_score,4.269265797648007,0.028349149181976785,0.0721904567638281,0.0006567114460405588,0.13362916
citric_acid,3.9548741321146665,0.05684570098253407,-0.23797408386525795,0.0002452467424360061,0.24555534
free_to_total_SO2,3.7694763565092404,0.030528280118379453,0.43812243626386854,0.006825164467569422,0.3185604
chlorides,3.690777585451097,0.037314130152170014,-0.39850579645508677,0.015597143531528839,0.27794772
total_acidity,3.4406951889570916,0.03649615206253718,0.17703687682025054,0.00724579068740599,0.14566709
density,3.3134431345025606,0.03525541759318865,-0.109186941078227,0.012555891138836761,0.20594053
volatile_acidity,3.167358223705739,0.05747752354439512,-0.4726634545017204,0.006977991902509873,0.13139024
residual_sugar,2.312826116930271,0.019508378124659553,0.25274170412025654,0.00282195698448951,0.12795128
cluster,0.0,0.012512800643396646,0.06485661163535102,0.0,0.0
